,Unnamed: 0,City,Latitude,Longitude,Temperature (°F),Humidity,Cloudiness,Wind Speed (mph),Country,Date Time
0,0,tuktoyaktuk,70.35997966085574,-129.81220787104886,12.2,79.0,40.0,26.46,CA,1619050005.0
1,1,albany,-73.54242790226056,101.00002892389692,37.0,55.0,79.0,13.18,US,1619049991.0
2,2,beringovskiy,54.44749312784765,175.50308447286668,27.9,74.0,67.0,4.32,RU,1619050570.0
3,3,la asuncion,12.671418714985665,-64.22542335786318,76.95,83.0,1.0,14.94,VE,1619050571.0
4,4,punta arenas,-76.70223678644369,-111.8752968427822,41.0,60.0,0.0,6.91,CL,1619050450.0
5,5,saint-philippe,-68.61085893999591,70.88917186698262,77.0,78.0,90.0,13.8,RE,1619050574.0
6,6,mataura,-49.10942539017351,-143.1406148714457,55.0,89.0,88.0,1.01,NZ,1619050575.0
7,7,mahebourg,-30.03259680915332,67.86436714695168,78.8,83.0,40.0,3.44,MU,1619050576.0
8,8,butaritari,7.828199982925397,160.65202307962073,82.31,77.0,100.0,14.74,KI,1619050577.0
9,9,qaqortoq,61.86346379778229,-46.02715009292146,48.2,27.0,75.0,31.07,GL,1619050578.0
10,10,busselton,-76.83762202021991,86.35467949080669,59.0,86.0,88.0,10.27,AU,1619050579.0
11,11,alugan,13.127856781747894,126.49143080969058,81.19,75.0,99.0,7.49,PH,1619050581.0
12,12,korla,42.09782989606339,84.99007861883405,58.42,29.0,98.0,13.0,CN,1619050582.0
13,13,avarua,-74.86061430432548,-166.44924018451817,82.4,65.0,40.0,16.11,CK,1619050583.0
14,14,klaksvik,66.67078988988729,-3.5306059502309783,41.0,81.0,75.0,9.22,FO,1619050584.0
15,15,sabha,26.22136690233036,16.887647579770313,76.75,17.0,100.0,26.22,LY,1619050585.0
16,16,ribeira grande,34.41136597084177,-37.59187718925838,64.42,90.0,100.0,38.03,PT,1619050587.0
17,17,jalu,30.05223821429608,21.88019195466279,66.94,26.0,33.0,12.77,LY,1619050588.0
18,18,puerto ayora,-8.588411427506971,-100.50163324477516,77.0,94.0,65.0,4.0,EC,1619050589.0
19,19,tomatlan,18.957869484750066,-107.68407128949366,85.41,36.0,27.0,8.7,MX,1619050590.0
20,20,khatanga,75.85888933433209,96.28648045869768,18.43,94.0,100.0,18.84,RU,1619050591.0
22,22,touros,-2.9215261899696268,-34.973388963346146,80.6,83.0,40.0,6.91,BR,1619050594.0
23,23,sitka,54.88326278101627,-137.68987368492316,55.4,35.0,20.0,9.22,US,1619050595.0
24,24,kushima,30.878426623691677,131.67254838178775,68.0,52.0,20.0,3.44,JP,1619050596.0
25,25,hilo,16.34189095232567,-145.52065915855655,84.2,48.0,75.0,12.66,US,1619050532.0
26,26,yelan,51.011844904659434,43.91586754380663,45.16,88.0,33.0,5.53,RU,1619050598.0
27,27,codrington,25.80699001694036,-50.86141519066908,56.17,73.0,99.0,11.68,AU,1619050600.0
28,28,tura,68.045313896398,99.42281622498558,70.61,71.0,95.0,2.59,IN,1619050601.0
30,30,bredasdorp,-59.62766140896082,22.761220311657187,62.6,94.0,99.0,8.05,ZA,1619050603.0
31,31,bilibino,74.35258291888601,164.80945758013712,27.5,68.0,34.0,2.73,RU,1619050604.0
